function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
3.4.11.14-RXN	0.0	0.0	7428.59	0.0	1.0	0.0	0.0	0.0	0.0	0.0
3.4.11.18-RXN	1660.08	4350.58	7477.42	456.27	1827.54	14776.57	5996.78	34193.72	42923.44	2926.9
3.4.11.2-RXN	0.0	4.32	7437.210000000001	0.0	1.0	3.12	0.0	11.69	15.78	0.24
3.4.11.21-RXN	1594.12	2.22	9.63	2.87	1.07	8965.87	107.59	34170.69	4.17	2567.89
3.4.11.4-RXN	1618.8300000000004	4347.230000000001	14891.55	422.24	1825.26	8987.34	5408.34	34187.15	42887.169999999984	2921.22
3.4.11.5-RXN	23.18	5.58	7439.19	0.0	734.86	1.62	2403.2	12.47	21441.06	5.55
3.4.11.6-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
3.4.11.7-RXN	0.0	2.85	0.14	0.0	0.0	0.0	0.0	0.17	0.14	0.24
3.4.11.9-RXN	3181.640000000001	4348.190000000001	7470.3200000000015	428.04	1091.47	17978.29	3018.21	68359.02999999997	21470.35	5482.22
3.4.13.19-RXN	1602.4399999999996	2.22	9.63	30.89	1.07	8970.79	689.84	34170.69	5.17	2572.42
3.4.13.21-RXN	0.37	0.0	0.0	0.0	0.0	1.0	0.98	1.09	14.54	0.0
3.4.13.22-RXN	0.0	2.85	0.14	2.93	0.0	18.62	0.0	1.46	1.34	0.24
3.4.13.9-RXN	28.91	4.11	7431.420000000001	0.0	735.9300000000002	5762.72	2498.7	3.72	21442.05	5.55
3.4.14.11-RXN	0.37	2.85	7428.73	0.0	1.0	0.0	0.98	0.17	0.14	0.24
3.4.14.4-RXN	0.25	4337.67	0.26	360.25	352.26	18.62	1.47	1.55	1.45	334.08
3.4.14.5-RXN	0.25	4337.67	0.26	363.18000000000006	352.26	38.52	1.47	2.84	2.65	334.08
3.4.15.1-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
3.4.15.5-RXN	0.5	8676.810000000001	9.0	720.5	704.52	40.8	2.94	14.62	18.54	668.16
3.4.15.6-RXN	0.0	0.0	0.0	0.0	1.07	5758.92	482.89	1.0	0.0	0.0
3.4.16.4-RXN	6543.05	4355.980000000001	7503.62	546.01	1096.89	41659.76	4995.09	136700.86000000002	21481.3	10638.849999999997
3.4.17.11-RXN	3.48	2.94	16.96	0.0	0.0	1.28	95.5	20.86	2.2	0.0
3.4.17.13-RXN	0.62	4339.14	8.74	360.25	352.26	19.9	2.45	11.98	2.55	334.08
3.4.17.19-RXN	1542.34	6.33	10.750000000000002	2.87	734.9300000000002	8966.65	2509.81	34172.73	21444.13	2571.86
3.4.19.11-RXN	3.48	0.0	0.0	0.0	0.0	0.0	578.39	0.0	0.0	0.0
3.4.19.5-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
3.4.21.102-RXN	1621.21	13017.2	7460.09	1142.74	1061.0600000000004	9028.84	1090.7099999999996	34187.020000000004	12.38	3578.5200000000004
3.4.21.105-RXN	45.17	2.85	7429.73	0.0	2.0700000000000003	5758.92	578.39	1.17	0.14	1.82
3.4.21.107-RXN	1692.8	8.01	7456.3200000000015	30.89	3.14	14729.71	2043.01	34192.72	7.51	2574.24
3.4.21.116-RXN	1618.21	2.22	9.63	30.89	1.07	8969.51	594.34	34170.69	5.17	2572.42
3.4.21.26-RXN	0.0	0.0	0.0	2.93	0.0	21.18	0.0	1.29	1.2	0.0
3.4.21.53-RXN	1618.46	4341.3600000000015	18.37	394.07000000000005	354.4	14766.95	595.8100000000002	34184.960000000014	8.92	2906.5
3.4.21.66-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
3.4.21.83-RXN	0.0	0.0	0.0	0.0	0.0	3.98	0.0	1.09	14.54	0.0
3.4.21.88-RXN	1643.2700000000002	9.68	7453.09	61.99	738.1400000000001	8975.6	3488.52	34175.24	21462.57	2582.07
3.4.21.89-RXN	3308.26	8687.330000000002	14909.65	819.24	1443.66	12257.89	3701.35	68371.3	21475.1	5823.99
3.4.21.92-RXN	1712.8000000000004	4345.970000000001	7462.69	422.24	1092.54	20513.480000000003	3585.49	34190.14	21479.52	2917.49
3.4.22.40-RXN	0.25	4343.040000000001	22290.13	360.25	1822.98	21.02	4803.95	5.46	42881.23	344.94
3.4.23.36-RXN	1679.53	4343.120000000001	7462.55	422.24	1090.4	8994.220000000001	3101.62	34186.880000000005	21464.84	2917.25
