function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
SAICARSYN-RXN	13.45	13.580000000000002	15.07	14.79	17.900000000000006	16.48	13.57	14.93	11.2	12.88
SAMDECARB-RXN	2.39	4.4	6.01	2.09	6.22	5.07	4.64	7.26	5.1400000000000015	5.54
SEDOHEPTULOKINASE-RXN	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0
SELENOCYSTEINE-LYASE-RXN	4.82	3.24	9.17	3.8	12.29	0.0	3.58	2.98	2.7	7.8
SERINE--TRNA-LIGASE-RXN	13.45	13.580000000000002	15.07	14.79	17.900000000000006	16.48	13.57	14.93	11.2	12.88
SERINE-O-ACETTRAN-RXN	16.8	15.48	22.85	17.930000000000003	28.01	19.5	16.14	16.099999999999998	13.82	19.67
SHIKIMATE-5-DEHYDROGENASE-RXN	20.08	22.05	21.23	19.430000000000003	20.61	26.91	20.51	24.42	15.16	14.41
SHIKIMATE-KINASE-RXN	22.94	24.660000000000004	21.8	19.51	25.98	27.89	22.03	20.78	16.31	18.83
SIALATE-O-ACETYLESTERASE-RXN	14.22	3.24	10.0	19.5	32.39	0.0	8.58	8.83	4.01	17.74
SIROHEME-FERROCHELAT-RXN	7.0299999999999985	9.18	7.73	7.899999999999999	4.76	14.64	7.939999999999999	11.95	6.12	3.62
SPERMACTRAN-RXN	4.35	1.9	7.3599999999999985	4.8100000000000005	8.05	6.25	4.67	5.3599999999999985	4.11	5.8100000000000005
SPERMIDINESYN-RXN	6.32	8.64	9.07	3.1500000000000004	9.27	5.07	6.21	9.33	5.1400000000000015	8.510000000000002
STREPTOMYCIN-3-ADENYLYLTRANSFERASE-RXN	1.07	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUCCCOASYN-RXN	3.92	0.0	8.44	7.6	13.84	0.0	2.0	2.34	2.62	6.76
SUCCDIAMINOPIMDESUCC-RXN	4.46	10.13	7.61	7.41	6.22	9.49	7.75	13.52	8.090000000000002	6.93
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	5.31	2.61	8.44	8.6	17.16	0.0	5.58	4.15	6.17	11.19
SUCCINYLDIAMINOPIMTRANS-RXN	11.49	13.580000000000002	11.18	11.65	11.39	16.48	12.57	13.76	9.89	9.5
SUCROSE-PHOSPHORYLASE-RXN	0.0	1.0	0.0	1.06	0.0	0.0	0.0	2.0700000000000003	0.0	0.0
SUCROSEPHOSPHO-RXN	6.56	24.08	4.09	15.1	2.17	15.829999999999998	8.98	15.79	7.760000000000002	2.08
SULFATE-ADENYLYLTRANS-RXN	6.0600000000000005	0.0	12.22	7.6	13.84	0.0	2.0	2.34	2.62	6.76
SULFITE-REDUCT-RXN	0.0	0.0	0.66	1.32	0.82	0.0	0.0	0.0	0.0	0.0
SULFOCYS-RXN	21.72	19.99	23.54	22.61	29.45	20.69	23.31	22.18	17.17	25.910000000000004
SUPEROX-DISMUT-RXN	8.52	9.18	12.6	14.36	10.04	14.64	10.989999999999998	10.66	8.46	7.35
TAGAALDOL-RXN	0.0	2.05	2.8	2.26	0.0	1.19	0.0	1.26	0.84	0.0
TAGAKIN-RXN	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0
TARTRATE-DECARBOXYLASE-RXN	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TARTRATE-DEHYDROGENASE-RXN	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TDCEACT-RXN	54.54	61.78	58.87	59.43	60.62	72.68	58.69	66.78	45.62000000000001	44.53999999999999
TEICHOICSYN2-RXN	4.489999999999998	7.84	3.91	8.98	3.12	11.409999999999998	6.8900000000000015	7.76	4.75	2.92
TEICHOICSYN4-RXN	2.39	2.9	7.67	2.73	1.0	3.23	3.67	6.26	1.08	1.93
TETRAACYLDISACC4KIN-RXN	1.96	0.0	4.22	3.8	6.92	0.0	1.0	1.17	1.31	3.38
THI-P-KIN-RXN	1.96	0.0	4.22	3.8	6.92	0.0	1.0	1.17	1.31	3.38
THI-P-SYN-RXN	14.85	10.35	18.75	15.41	24.75	15.32	10.260000000000002	13.74	9.63	16.31
THIAMIN-PYROPHOSPHOKINASE-RXN	8.96	7.45	13.54	10.55	15.32	9.28	9.33	11.7	10.04	11.85
THIAMINASE-RXN	0.0	0.0	0.0	2.51	0.0	0.0	0.0	1.26	0.0	0.0
THIAZOLSYN2-RXN	5.8900000000000015	2.9	1.9	8.120000000000001	7.37	4.21	3.5700000000000003	4.5	1.32	5.919999999999999
THIAZOLSYN3-RXN	4.54	5.55	9.07	7.41	7.27	9.28	5.12	9.33	7.010000000000002	4.65
THIOREDOXIN-REDUCT-NADPH-RXN	17.59	20.76	24.26	23.35	21.34	28.99	19.380000000000006	31.17	17.46	15.88
THIOSULFATE-SULFURTRANSFERASE-RXN	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.32	1.05
THREDEHYD-RXN	10.1	11.68	17.069999999999997	11.65	12.99	16.48	11.0	13.76	11.2	9.05
THREODEHYD-RXN	1.96	2.05	0.33	4.9700000000000015	4.32	1.19	1.0	1.17	0.84	1.9
THREONINE--TRNA-LIGASE-RXN	13.45	13.580000000000002	16.07	14.79	17.900000000000006	16.48	13.57	14.93	11.2	12.88
THREONINE-ALDOLASE-RXN	8.52	9.18	11.6	14.79	9.09	14.64	10.989999999999998	13.12	6.74	6.85
THRESYN-RXN	13.45	13.580000000000002	15.74	15.55	17.490000000000002	16.48	13.57	14.93	11.2	12.88
